Inc+A1:F52ident,RMSOccurrenceDate,RMSOccurrenceHour,NIBRSClass,NIBRSDescription,OffenseCount,Beat,Premise,StreetNo,StreetName,StreetType,Suffix,City,ZIPCode,MapLongitude,MapLatitude
181177324,2024-12-31,4,290,"Destruction, damage, vandalism",1,15E40,Liquor Store,7804,ALMEDA,RD,,HOUSTON,77054.0,-95.390408,29.688643
181179424,2024-12-31,4,220,"Burglary, Breaking and Entering",1,17E20,"Commercial, Office Building",8901,GESSNER,RD,S,HOUSTON,77074.0,-95.528561,29.684964
181179624,2024-12-31,4,90J,Trespass of real property,1,14D10,"Other, Unknown",5202,GRIGGS,RD,,HOUSTON,77021.0,-95.336666,29.697808
181180024,2024-12-31,4,13B,Simple assault,1,12D10,"Residence, Home (Includes Apartment)",910,MARLEEN,ST,,HOUSTON,77034.0,-95.235373,29.651778
181213324,2024-12-31,4,23F,Theft from motor vehicle,1,3B10,"Hotel, Motel, ETC",11130,NORTHWEST,FWY,,HOUSTON,77092.0,-95.465812,29.818348
181263324,2024-12-31,4,290,"Destruction, damage, vandalism",1,1A50,"Commercial, Office Building",3823,RICHMOND,AVE,,HOUSTON,77027.0,-95.439139,29.732671
181265924,2024-12-31,4,220,"Burglary, Breaking and Entering",1,14D10,Speciality Store,4310,OLD SPANISH,TRL,,HOUSTON,77021.0,-95.34833,29.704212
181265924,2024-12-31,4,290,"Destruction, damage, vandalism",1,14D10,Speciality Store,4310,OLD SPANISH,TRL,,HOUSTON,77021.0,-95.34833,29.704212
181498624,2024-12-31,4,13B,Simple assault,1,3B50,"Residence, Home (Includes Apartment)",112,NEYLAND,ST,,HOUSTON,77022.0,-95.376033,29.826065
181181624,2024-12-31,5,220,"Burglary, Breaking and Entering",1,2A50,"Commercial, Office Building",5500,KATY,FWY,,HOUSTON,77007.0,-95.420184,29.777924
181182424,2024-12-31,5,240,Motor vehicle theft,1,5F30,"Parking Lot, Garage",7200,PINEMONT,DR,,HOUSTON,77040.0,-95.499258,29.841384
181183024,2024-12-31,5,220,"Burglary, Breaking and Entering",1,7C20,Convenience Store,3719,LOCKWOOD,DR,,HOUSTON,77026.0,-95.316144,29.79288
181183024,2024-12-31,5,90Z,All other offenses,1,7C20,"Highway, Road, Street, Alley",3719,LOCKWOOD,DR,,HOUSTON,77026.0,-95.316144,29.79288
181183124,2024-12-31,5,13A,Aggravated Assault,1,19G50,"Residence, Home (Includes Apartment)",9803,SAM HOUSTON,PKWY,W,HOUSTON,77099.0,-95.559948,29.673022
181185524,2024-12-31,5,240,Motor vehicle theft,1,8C10,"Residence, Home (Includes Apartment)",4919,DENMARK,ST,,HOUSTON,77016.0,-95.318424,29.827492
181186624,2024-12-31,5,90J,Trespass of real property,1,6B20,"Residence, Home (Includes Apartment)",6536,TUSKEGEE,ST,,HOUSTON,77091.0,-95.42593,29.858444
181199724,2024-12-31,5,23F,Theft from motor vehicle,1,7C30,"Residence, Home (Includes Apartment)",2212,BENNINGTON,ST,,HOUSTON,77093.0,-95.348608,29.821829
730325,2024-12-31,6,120,Robbery,1,7C10,"Highway, Road, Street, Alley",3814,LYONS,AVE,,HOUSTON,77020.0,-95.331742,29.775966
181189524,2024-12-31,6,23H,All other larceny,1,7C40,"Grocery, Supermarket",1523,LITTLE YORK,RD,,HOUSTON,77093.0,-95.361428,29.870777
181189524,2024-12-31,6,290,"Destruction, damage, vandalism",1,7C40,"Grocery, Supermarket",1523,LITTLE YORK,RD,,HOUSTON,77093.0,-95.361428,29.870777
181191824,2024-12-31,6,90J,Trespass of real property,1,2A20,"Hotel, Motel, ETC",2475,NORTH,FWY,,HOUSTON,77009.0,-95.372072,29.793784
181192524,2024-12-31,6,120,Robbery,1,19G10,Speciality Store,6800,SAM HOUSTON,PKWY,W,HOUSTON,77072.0,-95.557773,29.703713
